Time	Position	Velocity	Acceleration
0	0	0	34.34337234
0.03125	0	1.073230386	-22.66255951
0.0625	0.03353845	0.365025401	-47.13196945
0.09375	0.044945493	-1.107848644	-87.76608276
0.125	0.010325223	-3.850538731	56.72912598
0.15625	-0.110004112	-2.077753544	87.91822815
0.1875	-0.17493391	0.669691086	-4.129302979
0.21875	-0.154006064	0.540650368	-12.78808594
0.25	-0.13711074	0.141022682	-77.85047913
0.28125	-0.132703781	-2.29180479	109.9311371
0.3125	-0.204322681	1.143543243	57.37490845
0.34375	-0.168586954	2.936509132	-34.08073807
0.375	-0.076821044	1.871486068	41.07433319
0.40625	-0.018337104	3.15505898	-58.17306137
0.4375	0.080258489	1.337150812	-26.60108948
0.46875	0.122044452	0.505866766	-10.44562531
0.5	0.137852788	0.179440975	-9.651153564
0.53125	0.143460318	-0.122157574	-49.07936859
0.5625	0.139642894	-1.655887842	35.25245667
0.59375	0.087896399	-0.554248571	-77.58045959
0.625	0.070576131	-2.978637934	62.08037567
0.65625	-0.022506304	-1.038626194	48.37350464
0.6875	-0.054963373	0.473045826	42.19089127
0.71875	-0.040180691	1.791511178	32.43916321
0.75	0.015804034	2.805235028	-13.34782791
0.78125	0.103467628	2.388115406	-53.6118927
0.8125	0.178096235	0.712743759	-34.1237793
0.84375	0.200369477	-0.353624344	-4.881912231
0.875	0.189318717	-0.506184101	37.60406494
0.90625	0.173500463	0.668942928	126.3196259
0.9375	0.19440493	4.616431236	2.425628662
0.96875	0.338668406	4.692232132	-25.86859131
1	0.48530066	3.883838654	1.436279297
1.03125	0.606670618	3.928722382	5.650634766
1.0625	0.729443192	4.105304718	67.66015625
1.09375	0.857733965	6.219684601	24.74353027
1.125	1.052099109	6.992919922	-8.960449219
1.15625	1.270627856	6.712905884	-67.56518555
1.1875	1.480406165	4.601493835	16.87902832
1.21875	1.624202847	5.12896347	-40.45715332
1.25	1.784482956	3.864677429	-26.91467285
1.28125	1.905254126	3.023593903	-2.976074219
1.3125	1.999741435	2.930591583	2.943725586
1.34375	2.091322422	3.022583008	89.69482422
1.375	2.185778141	5.825546265	-44.44042969
